Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login dan Become Owner,Chrome 67.0.3396.87,,2018-06-26 11:27:31,2018-06-26 11:29:01,1m - 29.594s,FAILED
,,,,,,
Test Cases/Front-End/User/SC99 Regression/TC04 Login Biasa with email,Chrome 67.0.3396.87,,2018-06-26 11:27:32,2018-06-26 11:28:16,43.582s,PASSED
openBrowser,Chrome 67.0.3396.87,Buka browser,2018-06-26 11:27:32,2018-06-26 11:27:38,5.316s,PASSED
maximizeWindow,Chrome 67.0.3396.87,Maximize window,2018-06-26 11:27:38,2018-06-26 11:27:40,2.158s,PASSED
navigateToUrl,Chrome 67.0.3396.87,Akses Url,2018-06-26 11:27:40,2018-06-26 11:28:00,19.915s,PASSED
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-26 11:28:00,2018-06-26 11:28:01,1.104s,PASSED
click,Chrome 67.0.3396.87,Klik menu 'Masuk',2018-06-26 11:28:01,2018-06-26 11:28:03,2.108s,PASSED
setText,Chrome 67.0.3396.87,Input email\r\n,2018-06-26 11:28:03,2018-06-26 11:28:07,4.210s,PASSED
setText,Chrome 67.0.3396.87,Input password,2018-06-26 11:28:07,2018-06-26 11:28:11,4.123s,PASSED
click,Chrome 67.0.3396.87,Klik tombol 'Masuk',2018-06-26 11:28:11,2018-06-26 11:28:13,2.079s,PASSED
verifyElementVisible,Chrome 67.0.3396.87,"Verifikasi popup \""Success\"" Visible",2018-06-26 11:28:13,2018-06-26 11:28:16,2.051s,PASSED
,,,,,,
Test Cases/Front-End/Owner/SC01 Validasi Photo/TC06 Upload menggunakan gallery,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:59,43.784s,FAILED
openBrowser,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:16,0.001s,NOT_RUN
maximizeWindow,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:16,0.000s,NOT_RUN
navigateToUrl,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:16,0.000s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:16,0.000s,NOT_RUN
click,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:16,0.000s,NOT_RUN
setText,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:16,0.008s,NOT_RUN
setText,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:16,0.001s,NOT_RUN
click,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:16,0.002s,NOT_RUN
delay,Chrome 67.0.3396.87,,2018-06-26 11:28:16,2018-06-26 11:28:19,3.008s,PASSED
refresh,Chrome 67.0.3396.87,,2018-06-26 11:28:19,2018-06-26 11:28:36,17.267s,PASSED
click,Chrome 67.0.3396.87,,2018-06-26 11:28:36,2018-06-26 11:28:38,2.159s,PASSED
click,Chrome 67.0.3396.87,,2018-06-26 11:28:38,2018-06-26 11:28:40,2.121s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-26 11:28:40,2018-06-26 11:28:43,3.001s,PASSED
scrollToElement,Chrome 67.0.3396.87,,2018-06-26 11:28:43,2018-06-26 11:28:43,0.001s,NOT_RUN
WebUICustomKeyword.uploadFile,Chrome 67.0.3396.87,,2018-06-26 11:28:43,2018-06-26 11:28:46,2.253s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-26 11:28:46,2018-06-26 11:28:49,3.002s,PASSED
scrollToElement,Chrome 67.0.3396.87,,2018-06-26 11:28:49,2018-06-26 11:28:49,0.001s,NOT_RUN
WebUICustomKeyword.uploadFile,Chrome 67.0.3396.87,,2018-06-26 11:28:49,2018-06-26 11:28:51,2.078s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-26 11:28:51,2018-06-26 11:28:54,3.002s,PASSED
WebUICustomKeyword.uploadFile,Chrome 67.0.3396.87,,2018-06-26 11:28:54,2018-06-26 11:28:56,2.083s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-26 11:28:56,2018-06-26 11:28:56,0.004s,NOT_RUN
click,Chrome 67.0.3396.87,,2018-06-26 11:28:56,2018-06-26 11:28:59,3.432s,FAILED
